Years,x4_5_hr,rank,Probability,Frequency
"2009-2010",9.86666666666667,1,5.55555555555556,18
"2005-2006",8.4,2,11.1111111111111,9
"2019-2020",7.64444444444444,3,16.6666666666667,6
"2006-2007",7.44444444444444,4,22.2222222222222,4.5
"2008-2009",7.28888888888889,5,27.7777777777778,3.6
"2014-2015",7.15555555555556,6,33.3333333333333,3
"2017-2018",6.6,7,38.8888888888889,2.57142857142857
"2012-2013",6.37777777777778,8,44.4444444444444,2.25
"2020-2021",6.33333333333333,9,50,2
"2016-2017",6.15555555555556,10,55.5555555555556,1.8
"2013-2014",6.11111111111111,11,61.1111111111111,1.63636363636364
"2018-2019",6.06666666666667,12,66.6666666666667,1.5
"2007-2008",5.77777777777778,13,72.2222222222222,1.38461538461538
"2021-2022",5.6,14,77.7777777777778,1.28571428571429
"2015-2016",5.2,15,83.3333333333333,1.2
"2011-2012",5.15555555555556,16,88.8888888888889,1.125
"2010-2011",4.6,17,94.4444444444444,1.05882352941176
