Years,x4_5_hr,rank,Probability,Frequency
"2016-2017",12.0888888888889,1,4.54545454545455,22
"2015-2016",10.0222222222222,2,9.09090909090909,11
"2004-2005",8.13333333333333,3,13.6363636363636,7.33333333333333
"2001-2002",7.95555555555556,4,18.1818181818182,5.5
"2010-2011",7.71111111111111,5,22.7272727272727,4.4
"2002-2003",7.66666666666667,6,27.2727272727273,3.66666666666667
"2021-2022",7.6,7,31.8181818181818,3.14285714285714
"2006-2007",7.53333333333333,8,36.3636363636364,2.75
"2009-2010",6.88888888888889,9,40.9090909090909,2.44444444444444
"2018-2019",6.82222222222222,10,45.4545454545455,2.2
"2008-2009",6.77777777777778,11,50,2
"2014-2015",6.53333333333333,12,54.5454545454545,1.83333333333333
"2011-2012",6.13333333333333,13,59.0909090909091,1.69230769230769
"2012-2013",6.08888888888889,14,63.6363636363636,1.57142857142857
"2019-2020",5.77777777777778,15,68.1818181818182,1.46666666666667
"2005-2006",5.68888888888889,16,72.7272727272727,1.375
"2017-2018",5.68888888888889,17,77.2727272727273,1.29411764705882
"2020-2021",5.28888888888889,18,81.8181818181818,1.22222222222222
"2013-2014",5.26666666666667,19,86.3636363636364,1.15789473684211
"2003-2004",4.73333333333333,20,90.9090909090909,1.1
"2007-2008",3.51111111111111,21,95.4545454545455,1.04761904761905
