Years,x4_5_hr,rank,Probability,Frequency
"2009-2010",12.3333333333333,1,3.7037037037037,27
"1997-1998",10.2728888888889,2,7.40740740740741,13.5
"1996-1997",9.42622222222222,3,11.1111111111111,9
"2016-2017",6.91111111111111,4,14.8148148148148,6.75
"2005-2006",6.8,5,18.5185185185185,5.4
"2018-2019",6.44444444444444,6,22.2222222222222,4.5
"2002-2003",6.42222222222222,7,25.9259259259259,3.85714285714286
"2014-2015",6.4,8,29.6296296296296,3.375
"1999-2000",6.33333333333333,9,33.3333333333333,3
"2020-2021",6.31111111111111,10,37.037037037037,2.7
"2004-2005",6.11111111111111,11,40.7407407407407,2.45454545454545
"2019-2020",5.82222222222222,12,44.4444444444444,2.25
"2017-2018",5.73333333333333,13,48.1481481481481,2.07692307692308
"2013-2014",5.57777777777778,14,51.8518518518518,1.92857142857143
"2012-2013",5.4,15,55.5555555555556,1.8
"2006-2007",5.06666666666667,16,59.2592592592593,1.6875
"2000-2001",4.86666666666667,17,62.962962962963,1.58823529411765
"2008-2009",4.75555555555556,18,66.6666666666667,1.5
"2003-2004",4.75555555555556,19,70.3703703703704,1.42105263157895
"2001-2002",4.68888888888889,20,74.0740740740741,1.35
"2011-2012",4.62222222222222,21,77.7777777777778,1.28571428571429
"2015-2016",4.55555555555556,22,81.4814814814815,1.22727272727273
"2021-2022",4.31111111111111,23,85.1851851851852,1.17391304347826
"1998-1999",4.17777777777778,24,88.8888888888889,1.125
"2010-2011",3.82222222222222,25,92.5925925925926,1.08
"2007-2008",2.93333333333333,26,96.2962962962963,1.03846153846154
