Years,x4_5_hr,rank,Probability,Frequency
"2002-2003",6.26666666666667,1,6.25,16
"2001-2002",5.46666666666667,2,12.5,8
"2005-2006",5.11111111111111,3,18.75,5.33333333333333
"1997-1998",5.08888888888889,4,25,4
"1993-1994",4.8,5,31.25,3.2
"1995-1996",4.48888888888889,6,37.5,2.66666666666667
"1994-1995",3.75555555555556,7,43.75,2.28571428571429
"1996-1997",3.75555555555556,8,50,2
"2003-2004",3.75555555555556,9,56.25,1.77777777777778
"1998-1999",3.48888888888889,10,62.5,1.6
"2000-2001",3.31111111111111,11,68.75,1.45454545454545
"2006-2007",3.13333333333333,12,75,1.33333333333333
"1999-2000",3.11111111111111,13,81.25,1.23076923076923
"2004-2005",2.68888888888889,14,87.5,1.14285714285714
"2007-2008",2.64444444444444,15,93.75,1.06666666666667
