Years,x4_5_hr,rank,Probability,Frequency
"2008-2009",7.622222222,1,5.55555555555556,18
"2017-2018",6.755555556,2,11.1111111111111,9
"2011-2012",6.333333333,3,16.6666666666667,6
"2021-2022",5.888888889,4,22.2222222222222,4.5
"2015-2016",5.2,5,27.7777777777778,3.6
"2012-2013",5.177777778,6,33.3333333333333,3
"2014-2015",4.955555556,7,38.8888888888889,2.57142857142857
"2009-2010",4.622222222,8,44.4444444444444,2.25
"2013-2014",4.311111111,9,50,2
"2020-2021",4.177777778,10,55.5555555555556,1.8
"2018-2019",4.088888889,11,61.1111111111111,1.63636363636364
"2019-2020",4.022222222,12,66.6666666666667,1.5
"2010-2011",3.977777778,13,72.2222222222222,1.38461538461538
"2016-2017",3.866666667,14,77.7777777777778,1.28571428571429
"2006-2007",3.133333333,15,83.3333333333333,1.2
"2007-2008",2.644444444,16,88.8888888888889,1.125
"1993-1994",2.133333333,17,94.4444444444444,1.05882352941176
