Years,x4_5_hr,rank,Probability,Frequency
"1998-1999",26.31111111,1,3.44827586206897,29
"2001-2002",16.53333333,2,6.89655172413793,14.5
"2020-2021",14,3,10.3448275862069,9.66666666666667
"2003-2004",13.68888889,4,13.7931034482759,7.25
"2019-2020",12.4,5,17.2413793103448,5.8
"2015-2016",12.11111111,6,20.6896551724138,4.83333333333333
"2014-2015",11.86666667,7,24.1379310344828,4.14285714285714
"2017-2018",10.44444444,8,27.5862068965517,3.625
"1997-1998",10.26666667,9,31.0344827586207,3.22222222222222
"2002-2003",9.533333333,10,34.4827586206897,2.9
"2011-2012",9.444444444,11,37.9310344827586,2.63636363636364
"2016-2017",8.755555556,12,41.3793103448276,2.41666666666667
"2012-2013",7.955555556,13,44.8275862068966,2.23076923076923
"1994-1995",7.333333333,14,48.2758620689655,2.07142857142857
"2006-2007",7.288888889,15,51.7241379310345,1.93333333333333
"2008-2009",7.066666667,16,55.1724137931034,1.8125
"2009-2010",6.777777778,17,58.6206896551724,1.70588235294118
"1995-1996",6.622222222,18,62.0689655172414,1.61111111111111
"2018-2019",6.333333333,19,65.5172413793103,1.52631578947368
"2021-2022",6.244444444,20,68.9655172413793,1.45
"1999-2000",6.133333333,21,72.4137931034483,1.38095238095238
"2004-2005",5.822222222,22,75.8620689655172,1.31818181818182
"2007-2008",5.8,23,79.3103448275862,1.26086956521739
"2010-2011",5.755555556,24,82.7586206896552,1.20833333333333
"1996-1997",5.266666667,25,86.2068965517241,1.16
"2000-2001",5.2,26,89.6551724137931,1.11538461538462
"2005-2006",4.333333333,27,93.1034482758621,1.07407407407407
"2013-2014",4.066666667,28,96.551724137931,1.03571428571429
