Years,x4_5_hr,rank,Probability,Frequency
"2002-2003",3.64444444444444,1,9.09090909090909,11
"2005-2006",2.42222222222222,2,18.1818181818182,5.5
"1998-1999",2.26666666666667,3,27.2727272727273,3.66666666666667
"2003-2004",1.75555555555556,4,36.3636363636364,2.75
"2006-2007",1.66666666666667,5,45.4545454545455,2.2
"2004-2005",1.48888888888889,6,54.5454545454545,1.83333333333333
"2000-2001",1.35555555555556,7,63.6363636363636,1.57142857142857
"2001-2002",1.06666666666667,8,72.7272727272727,1.375
"2007-2008",1.04444444444444,9,81.8181818181818,1.22222222222222
"1999-2000",0.577777777777778,10,90.9090909090909,1.1
