Years,x4_5_hr,rank,Probability,Frequency
"2016-2017",10.9777777777778,1,4.34782608695652,23
"2010-2011",10.6222222222222,2,8.69565217391304,11.5
"2008-2009",9.77777777777778,3,13.0434782608696,7.66666666666667
"2018-2019",9.4,4,17.3913043478261,5.75
"2019-2020",9.08888888888889,5,21.7391304347826,4.6
"2005-2006",8.48888888888889,6,26.0869565217391,3.83333333333333
"2001-2002",8.44444444444444,7,30.4347826086957,3.28571428571429
"2009-2010",8.37777777777778,8,34.7826086956522,2.875
"2015-2016",8.13333333333333,9,39.1304347826087,2.55555555555556
"2004-2005",8,10,43.4782608695652,2.3
"2014-2015",7.51111111111111,11,47.8260869565217,2.09090909090909
"2002-2003",7.24444444444444,12,52.1739130434783,1.91666666666667
"2012-2013",7.22222222222222,13,56.5217391304348,1.76923076923077
"2017-2018",7.17777777777778,14,60.8695652173913,1.64285714285714
"2006-2007",7.15555555555556,15,65.2173913043478,1.53333333333333
"1999-2000",6.88888888888889,16,69.5652173913043,1.4375
"2021-2022",6.55555555555556,17,73.9130434782609,1.35294117647059
"2011-2012",5.88888888888889,18,78.2608695652174,1.27777777777778
"2013-2014",5.88888888888889,19,82.6086956521739,1.21052631578947
"2003-2004",5.75555555555556,20,86.9565217391304,1.15
"2007-2008",5.53333333333333,21,91.304347826087,1.0952380952381
"2020-2021",5.46666666666667,22,95.6521739130435,1.04545454545455
