Years,x4_5_hr,rank,Probability,Frequency
"2010-2011",15.0222222222222,1,4.34782608695652,23
"2004-2005",14.2444444444444,2,8.69565217391304,11.5
"2009-2010",13.4,3,13.0434782608696,7.66666666666667
"2011-2012",13.3111111111111,4,17.3913043478261,5.75
"2018-2019",12.0222222222222,5,21.7391304347826,4.6
"2017-2018",11.6666666666667,6,26.0869565217391,3.83333333333333
"2003-2004",11.4222222222222,7,30.4347826086957,3.28571428571429
"2020-2021",10.8444444444444,8,34.7826086956522,2.875
"2001-2002",10.3333333333333,9,39.1304347826087,2.55555555555556
"2012-2013",9.8,10,43.4782608695652,2.3
"2007-2008",9.51111111111111,11,47.8260869565217,2.09090909090909
"2002-2003",9.2,12,52.1739130434783,1.91666666666667
"2021-2022",9.04444444444444,13,56.5217391304348,1.76923076923077
"2015-2016",8.62222222222222,14,60.8695652173913,1.64285714285714
"2005-2006",8.37777777777778,15,65.2173913043478,1.53333333333333
"2016-2017",8.31111111111111,16,69.5652173913043,1.4375
"2014-2015",8.22222222222222,17,73.9130434782609,1.35294117647059
"2006-2007",8.08888888888889,18,78.2608695652174,1.27777777777778
"2019-2020",7.48888888888889,19,82.6086956521739,1.21052631578947
"2013-2014",7.37777777777778,20,86.9565217391304,1.15
"2000-2001",6.4,21,91.304347826087,1.0952380952381
"2008-2009",4.62222222222222,22,95.6521739130435,1.04545454545455
