Years,x4_5_hr,rank,Probability,Frequency
"2011-2012",14.8222222222222,1,6.25,16
"2013-2014",14.5555555555556,2,12.5,8
"2020-2021",11.8444444444444,3,18.75,5.33333333333333
"2017-2018",10.8,4,25,4
"2010-2011",8.91111111111111,5,31.25,3.2
"2021-2022",8.15555555555556,6,37.5,2.66666666666667
"2018-2019",7.73333333333333,7,43.75,2.28571428571429
"2012-2013",7.71111111111111,8,50,2
"2014-2015",7.04444444444444,9,56.25,1.77777777777778
"2019-2020",6.88888888888889,10,62.5,1.6
"2016-2017",6.17777777777778,11,68.75,1.45454545454545
"2009-2010",5.95555555555555,12,75,1.33333333333333
"2008-2009",5.64444444444444,13,81.25,1.23076923076923
"2007-2008",5.22222222222222,14,87.5,1.14285714285714
"2015-2016",4.84444444444444,15,93.75,1.06666666666667
