Years,x4_5_hr,rank,Probability,Frequency
"2005-2006",9.68888888888889,1,4.54545454545455,22
"2018-2019",9.2,2,9.09090909090909,11
"2014-2015",8.88888888888889,3,13.6363636363636,7.33333333333333
"2009-2010",7.42222222222222,4,18.1818181818182,5.5
"2020-2021",7.42222222222222,5,22.7272727272727,4.4
"2017-2018",7,6,27.2727272727273,3.66666666666667
"2006-2007",6.95555555555556,7,31.8181818181818,3.14285714285714
"2000-2001",6.84444444444444,8,36.3636363636364,2.75
"2019-2020",6.6,9,40.9090909090909,2.44444444444444
"2015-2016",6.55555555555556,10,45.4545454545455,2.2
"2013-2014",6.4,11,50,2
"2008-2009",6.11111111111111,12,54.5454545454545,1.83333333333333
"2021-2022",6.11111111111111,13,59.0909090909091,1.69230769230769
"2003-2004",5.77777777777778,14,63.6363636363636,1.57142857142857
"2012-2013",5.42222222222222,15,68.1818181818182,1.46666666666667
"2004-2005",5.24444444444444,16,72.7272727272727,1.375
"2010-2011",4.88888888888889,17,77.2727272727273,1.29411764705882
"2011-2012",4.88888888888889,18,81.8181818181818,1.22222222222222
"2001-2002",4.77777777777778,19,86.3636363636364,1.15789473684211
"2002-2003",4.48888888888889,20,90.9090909090909,1.1
"2016-2017",4.15555555555556,21,95.4545454545455,1.04761904761905
