Years,x4_hr,rank,Probability,Frequency
"2004-2005",9.8,1,3.84615384615385,26
"2017-2018",6.75,2,7.69230769230769,13
"2009-2010",6.05,3,11.5384615384615,8.66666666666667
"2021-2022",5.925,4,15.3846153846154,6.5
"2014-2015",5.675,5,19.2307692307692,5.2
"2000-2001",5.425,6,23.0769230769231,4.33333333333333
"2018-2019",5.4,7,26.9230769230769,3.71428571428571
"2015-2016",5.2,8,30.7692307692308,3.25
"2013-2014",4.75,9,34.6153846153846,2.88888888888889
"2008-2009",4.55,10,38.4615384615385,2.6
"1997-1998",4.3,11,42.3076923076923,2.36363636363636
"2001-2002",3.35,12,46.1538461538462,2.16666666666667
"2010-2011",3.25,13,50,2
"2019-2020",2.925,14,53.8461538461538,1.85714285714286
"2006-2007",2.825,15,57.6923076923077,1.73333333333333
"2012-2013",2.825,16,61.5384615384615,1.625
"2011-2012",2.75,17,65.3846153846154,1.52941176470588
"1999-2000",2.725,18,69.2307692307692,1.44444444444444
"2020-2021",2.7,19,73.0769230769231,1.36842105263158
"2005-2006",2.55,20,76.9230769230769,1.3
"2007-2008",2.525,21,80.7692307692308,1.23809523809524
"1998-1999",2.15,22,84.6153846153846,1.18181818181818
"2016-2017",1.95,23,88.4615384615385,1.1304347826087
"2002-2003",1.725,24,92.3076923076923,1.08333333333333
"1996-1997",0.85,25,96.1538461538462,1.04
