Years,x4_hr,rank,Probability,Frequency
"2018-2019",17.175,1,5,20
"2017-2018",16.025,2,10,10
"2015-2016",11.35,3,15,6.66666666666667
"2006-2007",10,4,20,5
"2008-2009",8.1,5,25,4
"2020-2021",8.1,6,30,3.33333333333333
"2019-2020",7,7,35,2.85714285714286
"2011-2012",6.65,8,40,2.5
"2004-2005",6.2,9,45,2.22222222222222
"2014-2015",6.125,10,50,2
"2012-2013",6.1,11,55,1.81818181818182
"2021-2022",5.55,12,60,1.66666666666667
"2009-2010",5.275,13,65,1.53846153846154
"2007-2008",5.075,14,70,1.42857142857143
"2013-2014",4.85,15,75,1.33333333333333
"2003-2004",4.65,16,80,1.25
"2016-2017",4.525,17,85,1.17647058823529
"2005-2006",4.5,18,90,1.11111111111111
"2010-2011",4.025,19,95,1.05263157894737
