Years,x4_hr,rank,Probability,Frequency
"2013-2014",7.475,1,7.69230769230769,13
"2012-2013",7.2,2,15.3846153846154,6.5
"2018-2019",7.125,3,23.0769230769231,4.33333333333333
"2017-2018",6.775,4,30.7692307692308,3.25
"2015-2016",5.825,5,38.4615384615385,2.6
"2014-2015",5.525,6,46.1538461538462,2.16666666666667
"2019-2020",5.275,7,53.8461538461538,1.85714285714286
"2016-2017",4.8,8,61.5384615384615,1.625
"2011-2012",4.35,9,69.2307692307692,1.44444444444444
"2021-2022",4.35,10,76.9230769230769,1.3
"2020-2021",3.875,11,84.6153846153846,1.18181818181818
"2010-2011",3.7,12,92.3076923076923,1.08333333333333
