Years,x4_hr,rank,Probability,Frequency
"2021-2022",7.9,1,6.25,16
"2013-2014",7.625,2,12.5,8
"2018-2019",7.425,3,18.75,5.33333333333333
"2012-2013",6.05,4,25,4
"2017-2018",5.1,5,31.25,3.2
"2020-2021",4.775,6,37.5,2.66666666666667
"2009-2010",4.725,7,43.75,2.28571428571429
"2019-2020",4.55,8,50,2
"2011-2012",4.5,9,56.25,1.77777777777778
"2007-2008",4.425,10,62.5,1.6
"2016-2017",4.425,11,68.75,1.45454545454545
"2008-2009",4.25,12,75,1.33333333333333
"2014-2015",4.125,13,81.25,1.23076923076923
"2015-2016",4.025,14,87.5,1.14285714285714
"2010-2011",3.975,15,93.75,1.06666666666667
