Years,x4_hr,rank,Probability,Frequency
"2004-2005",10.525,1,4,25
"2013-2014",7.7,2,8,12.5
"2008-2009",5.6,3,12,8.33333333333333
"2017-2018",4.4,4,16,6.25
"2020-2021",3.925,5,20,5
"2016-2017",3.275,6,24,4.16666666666667
"2000-2001",3.05,7,28,3.57142857142857
"2019-2020",2.925,8,32,3.125
"2015-2016",2.875,9,36,2.77777777777778
"1998-1999",2.7,10,40,2.5
"2010-2011",2.175,11,44,2.27272727272727
"2001-2002",2.05,12,48,2.08333333333333
"2003-2004",1.925,13,52,1.92307692307692
"2009-2010",1.875,14,56,1.78571428571429
"2006-2007",1.85,15,60,1.66666666666667
"2014-2015",1.75,16,64,1.5625
"2012-2013",1.65,17,68,1.47058823529412
"2018-2019",1.625,18,72,1.38888888888889
"2005-2006",1.425,19,76,1.31578947368421
"2021-2022",1.325,20,80,1.25
"2002-2003",1.075,21,84,1.19047619047619
"2007-2008",0.9,22,88,1.13636363636364
"2011-2012",0.9,23,92,1.08695652173913
"1999-2000",0.8,24,96,1.04166666666667
