Years,x4_hr,rank,Probability,Frequency
"2015-2016",10.125,1,3.84615384615385,26
"2008-2009",9,2,7.69230769230769,13
"2019-2020",8.7,3,11.5384615384615,8.66666666666667
"2001-2002",7.7,4,15.3846153846154,6.5
"2002-2003",7.25,5,19.2307692307692,5.2
"2014-2015",6.825,6,23.0769230769231,4.33333333333333
"2017-2018",6.825,7,26.9230769230769,3.71428571428571
"1998-1999",6.6,8,30.7692307692308,3.25
"2009-2010",6.6,9,34.6153846153846,2.88888888888889
"2003-2004",6.575,10,38.4615384615385,2.6
"2020-2021",6.575,11,42.3076923076923,2.36363636363636
"2006-2007",6.475,12,46.1538461538462,2.16666666666667
"2013-2014",6.4,13,50,2
"2005-2006",6.15,14,53.8461538461538,1.85714285714286
"2010-2011",5.775,15,57.6923076923077,1.73333333333333
"2018-2019",5.325,16,61.5384615384615,1.625
"2004-2005",5.325,17,65.3846153846154,1.52941176470588
"1999-2000",5.15,18,69.2307692307692,1.44444444444444
"2012-2013",4.975,19,73.0769230769231,1.36842105263158
"2007-2008",4.75,20,76.9230769230769,1.3
"1997-1998",4.6,21,80.7692307692308,1.23809523809524
"2021-2022",4.475,22,84.6153846153846,1.18181818181818
"1996-1997",4.375,23,88.4615384615385,1.1304347826087
"2016-2017",4.125,24,92.3076923076923,1.08333333333333
"2011-2012",3.85,25,96.1538461538462,1.04
