Years,x50_min,rank,Probability,Frequency
"2009-2010",30.24,1,6.66666666666667,15
"2015-2016",21.72,2,13.3333333333333,7.5
"2013-2014",15.36,3,20,5
"2008-2009",10.8,4,26.6666666666667,3.75
"2014-2015",10.8,5,33.3333333333333,3
"2019-2020",10.2,6,40,2.5
"2017-2018",9.12,7,46.6666666666667,2.14285714285714
"2018-2019",7.68,8,53.3333333333333,1.875
"2021-2022",7.44,9,60,1.66666666666667
"2011-2012",6.12,10,66.6666666666667,1.5
"2012-2013",5.16,11,73.3333333333333,1.36363636363636
"2016-2017",5.04,12,80,1.25
"2010-2011",3.48,13,86.6666666666667,1.15384615384615
"2020-2021",2.64,14,93.3333333333333,1.07142857142857
