Years,x50_min,rank,Probability,Frequency
"2010-2011",26.52,1,3.33333333333333,30
"1998-1999",26.4,2,6.66666666666667,15
"2015-2016",26.04,3,10,10
"1993-1994",25.428,4,13.3333333333333,7.5
"2009-2010",23.88,5,16.6666666666667,6
"2006-2007",22.44,6,20,5
"2004-2005",21.96,7,23.3333333333333,4.28571428571429
"2001-2002",20.88,8,26.6666666666667,3.75
"2019-2020",20.64,9,30,3.33333333333333
"2020-2021",19.8,10,33.3333333333333,3
"1999-2000",18.12,11,36.6666666666667,2.72727272727273
"2017-2018",17.64,12,40,2.5
"1996-1997",17.4,13,43.3333333333333,2.30769230769231
"2018-2019",17.16,14,46.6666666666667,2.14285714285714
"1995-1996",16.8,15,50,2
"2008-2009",16.44,16,53.3333333333333,1.875
"2012-2013",16.32,17,56.6666666666667,1.76470588235294
"2002-2003",15.24,18,60,1.66666666666667
"2003-2004",15,19,63.3333333333333,1.57894736842105
"2000-2001",14.52,20,66.6666666666667,1.5
"1994-1995",14.4144,21,70,1.42857142857143
"1997-1998",13.92,22,73.3333333333333,1.36363636363636
"2013-2014",13.92,23,76.6666666666667,1.30434782608696
"2005-2006",12.84,24,80,1.25
"2021-2022",12.6,25,83.3333333333333,1.2
"2011-2012",12.36,26,86.6666666666667,1.15384615384615
"2007-2008",11.4,27,90,1.11111111111111
"2016-2017",11.16,28,93.3333333333333,1.07142857142857
"2014-2015",9.24,29,96.6666666666667,1.03448275862069
