Years,x50_min,rank,Probability,Frequency
"2019-2020",36.48,1,3.7037037037037,27
"2006-2007",27.24,2,7.40740740740741,13.5
"2015-2016",25.44,3,11.1111111111111,9
"2014-2015",21.24,4,14.8148148148148,6.75
"1996-1997",18.84,5,18.5185185185185,5.4
"2008-2009",18.24,6,22.2222222222222,4.5
"2013-2014",15.48,7,25.9259259259259,3.85714285714286
"2009-2010",15,8,29.6296296296296,3.375
"2005-2006",13.8,9,33.3333333333333,3
"2004-2005",13.32,10,37.037037037037,2.7
"2012-2013",12.24,11,40.7407407407407,2.45454545454545
"2011-2012",11.52,12,44.4444444444444,2.25
"1997-1998",11.28,13,48.1481481481481,2.07692307692308
"1999-2000",10.92,14,51.8518518518518,1.92857142857143
"2003-2004",10.56,15,55.5555555555556,1.8
"2018-2019",10.56,16,59.2592592592593,1.6875
"2000-2001",10.44,17,62.962962962963,1.58823529411765
"2017-2018",10.32,18,66.6666666666667,1.5
"2002-2003",10.2,19,70.3703703703704,1.42105263157895
"1998-1999",10.08,20,74.0740740740741,1.35
"2001-2002",9.72,21,77.7777777777778,1.28571428571429
"2020-2021",9.72,22,81.4814814814815,1.22727272727273
"2021-2022",9,23,85.1851851851852,1.17391304347826
"2007-2008",8.16,24,88.8888888888889,1.125
"2016-2017",7.44,25,92.5925925925926,1.08
"2010-2011",6.12,26,96.2962962962963,1.03846153846154
