Years,x50_min,rank,Probability,Frequency
"2020-2021",59.88,1,3.84615384615385,26
"2002-2003",44.52,2,7.69230769230769,13
"2014-2015",39.72,3,11.5384615384615,8.66666666666667
"2010-2011",38.28,4,15.3846153846154,6.5
"1999-2000",30.48,5,19.2307692307692,5.2
"2021-2022",27.96,6,23.0769230769231,4.33333333333333
"2012-2013",27.84,7,26.9230769230769,3.71428571428571
"2015-2016",27.48,8,30.7692307692308,3.25
"2008-2009",24.84,9,34.6153846153846,2.88888888888889
"2001-2002",24.36,10,38.4615384615385,2.6
"2000-2001",23.4,11,42.3076923076923,2.36363636363636
"2009-2010",22.8,12,46.1538461538462,2.16666666666667
"2019-2020",22.8,13,50,2
"2011-2012",21.84,14,53.8461538461538,1.85714285714286
"2006-2007",21.48,15,57.6923076923077,1.73333333333333
"1994-1995",21.12,16,61.5384615384615,1.625
"2004-2005",21,17,65.3846153846154,1.52941176470588
"2018-2019",19.92,18,69.2307692307692,1.44444444444444
"2017-2018",19.32,19,73.0769230769231,1.36842105263158
"2007-2008",16.44,20,76.9230769230769,1.3
"2003-2004",15.84,21,80.7692307692308,1.23809523809524
"2013-2014",14.88,22,84.6153846153846,1.18181818181818
"2016-2017",14.4,23,88.4615384615385,1.1304347826087
"2005-2006",13.56,24,92.3076923076923,1.08333333333333
"1993-1994",13.44,25,96.1538461538462,1.04
