Years,x50_min,rank,Probability,Frequency
"1997-1998",51.816,1,3.7037037037037,27
"1996-1997",38.4048,2,7.40740740740741,13.5
"2009-2010",36.84,3,11.1111111111111,9
"2016-2017",25.2,4,14.8148148148148,6.75
"2004-2005",20.76,5,18.5185185185185,5.4
"2018-2019",19.32,6,22.2222222222222,4.5
"2005-2006",18,7,25.9259259259259,3.85714285714286
"2017-2018",18,8,29.6296296296296,3.375
"2001-2002",17.28,9,33.3333333333333,3
"1998-1999",17.16,10,37.037037037037,2.7
"2013-2014",16.56,11,40.7407407407407,2.45454545454545
"2012-2013",16.32,12,44.4444444444444,2.25
"2008-2009",14.28,13,48.1481481481481,2.07692307692308
"2006-2007",14.16,14,51.8518518518518,1.92857142857143
"2015-2016",13.92,15,55.5555555555556,1.8
"2002-2003",13.68,16,59.2592592592593,1.6875
"2019-2020",13.56,17,62.962962962963,1.58823529411765
"2011-2012",12.72,18,66.6666666666667,1.5
"2020-2021",12.72,19,70.3703703703704,1.42105263157895
"2010-2011",11.76,20,74.0740740740741,1.35
"1999-2000",11.04,21,77.7777777777778,1.28571428571429
"2021-2022",10.56,22,81.4814814814815,1.22727272727273
"2000-2001",10.44,23,85.1851851851852,1.17391304347826
"2014-2015",9.96,24,88.8888888888889,1.125
"2003-2004",9.6,25,92.5925925925926,1.08
"2007-2008",9.36,26,96.2962962962963,1.03846153846154
