Years,x50_min,rank,Probability,Frequency
"2008-2009",38.4,1,5.55555555555556,18
"2015-2016",35.04,2,11.1111111111111,9
"2009-2010",34.56,3,16.6666666666667,6
"2018-2019",34.08,4,22.2222222222222,4.5
"2010-2011",31.8,5,27.7777777777778,3.6
"2011-2012",31.56,6,33.3333333333333,3
"2020-2021",30,7,38.8888888888889,2.57142857142857
"2007-2008",29.28,8,44.4444444444444,2.25
"2017-2018",25.92,9,50,2
"2019-2020",25.8,10,55.5555555555556,1.8
"2014-2015",23.64,11,61.1111111111111,1.63636363636364
"2005-2006",22.44,12,66.6666666666667,1.5
"2021-2022",21.6,13,72.2222222222222,1.38461538461538
"2012-2013",19.56,14,77.7777777777778,1.28571428571429
"2016-2017",19.56,15,83.3333333333333,1.2
"2006-2007",17.28,16,88.8888888888889,1.125
"2013-2014",15.72,17,94.4444444444444,1.05882352941176
