Years,x50_min,rank,Probability,Frequency
"2008-2009",36.84,1,6.25,16
"2015-2016",31.92,2,12.5,8
"2009-2010",26.4,3,18.75,5.33333333333333
"2019-2020",24.84,4,25,4
"2014-2015",24.48,5,31.25,3.2
"2020-2021",23.88,6,37.5,2.66666666666667
"2016-2017",23.16,7,43.75,2.28571428571429
"2018-2019",23.04,8,50,2
"2017-2018",21.84,9,56.25,1.77777777777778
"2012-2013",20.88,10,62.5,1.6
"2011-2012",15.6,11,68.75,1.45454545454545
"2013-2014",15.6,12,75,1.33333333333333
"2007-2008",14.64,13,81.25,1.23076923076923
"2021-2022",13.8,14,87.5,1.14285714285714
"2010-2011",11.76,15,93.75,1.06666666666667
