Years,x50_min,rank,Probability,Frequency
"2021-2022",51.36,1,6.66666666666667,15
"2011-2012",28.68,2,13.3333333333333,7.5
"2015-2016",27.48,3,20,5
"2009-2010",26.64,4,26.6666666666667,3.75
"2018-2019",26.4,5,33.3333333333333,3
"2020-2021",23.4,6,40,2.5
"2017-2018",20.76,7,46.6666666666667,2.14285714285714
"2014-2015",18.96,8,53.3333333333333,1.875
"2013-2014",17.28,9,60,1.66666666666667
"2012-2013",16.92,10,66.6666666666667,1.5
"2008-2009",15.84,11,73.3333333333333,1.36363636363636
"2019-2020",14.04,12,80,1.25
"2016-2017",13.68,13,86.6666666666667,1.15384615384615
"2010-2011",9.12,14,93.3333333333333,1.07142857142857
