Years,x50_min,rank,Probability,Frequency
"2017-2018",45.6,1,4.34782608695652,23
"2009-2010",37.44,2,8.69565217391304,11.5
"2003-2004",34.44,3,13.0434782608696,7.66666666666667
"2010-2011",34.08,4,17.3913043478261,5.75
"2020-2021",29.04,5,21.7391304347826,4.6
"2001-2002",28.56,6,26.0869565217391,3.83333333333333
"2012-2013",28.32,7,30.4347826086957,3.28571428571429
"2005-2006",27.48,8,34.7826086956522,2.875
"2004-2005",27.36,9,39.1304347826087,2.55555555555556
"2013-2014",27,10,43.4782608695652,2.3
"2019-2020",26.64,11,47.8260869565217,2.09090909090909
"2015-2016",25.92,12,52.1739130434783,1.91666666666667
"2016-2017",25.2,13,56.5217391304348,1.76923076923077
"2006-2007",24.12,14,60.8695652173913,1.64285714285714
"2011-2012",24.12,15,65.2173913043478,1.53333333333333
"2000-2001",24,16,69.5652173913043,1.4375
"2018-2019",23.16,17,73.9130434782609,1.35294117647059
"2021-2022",22.08,18,78.2608695652174,1.27777777777778
"2007-2008",21.24,19,82.6086956521739,1.21052631578947
"2014-2015",20.76,20,86.9565217391304,1.15
"2002-2003",17.64,21,91.304347826087,1.0952380952381
"2008-2009",16.44,22,95.6521739130435,1.04545454545455
