Years,x50_min,rank,Probability,Frequency
"2020-2021",49.08,1,6.25,16
"2017-2018",42.24,2,12.5,8
"2011-2012",38.28,3,18.75,5.33333333333333
"2010-2011",30.96,4,25,4
"2018-2019",30.6,5,31.25,3.2
"2013-2014",30.24,6,37.5,2.66666666666667
"2021-2022",28.56,7,43.75,2.28571428571429
"2012-2013",28.32,8,50,2
"2016-2017",25.68,9,56.25,1.77777777777778
"2014-2015",24.12,10,62.5,1.6
"2009-2010",22.44,11,68.75,1.45454545454545
"2019-2020",20.04,12,75,1.33333333333333
"2007-2008",19.32,13,81.25,1.23076923076923
"2015-2016",18.72,14,87.5,1.14285714285714
"2008-2009",14.4,15,93.75,1.06666666666667
