Years,x5_hr,rank,Probability,Frequency
"2009-2010",7.7,1,6.66666666666667,15
"2015-2016",4.34,2,13.3333333333333,7.5
"2019-2020",4.32,3,20,5
"2013-2014",4.2,4,26.6666666666667,3.75
"2014-2015",2.84,5,33.3333333333333,3
"2021-2022",2.8,6,40,2.5
"2008-2009",2.54,7,46.6666666666667,2.14285714285714
"2018-2019",1.98,8,53.3333333333333,1.875
"2011-2012",1.96,9,60,1.66666666666667
"2012-2013",1.64,10,66.6666666666667,1.5
"2017-2018",1.52,11,73.3333333333333,1.36363636363636
"2010-2011",1.22,12,80,1.25
"2016-2017",1.18,13,86.6666666666667,1.15384615384615
"2020-2021",0.72,14,93.3333333333333,1.07142857142857
