Years,x5_hr,rank,Probability,Frequency
"2009-2010",9.22,1,4.16666666666667,24
"2000-2001",9.18,2,8.33333333333333,12
"2014-2015",9.18,3,12.5,8
"2013-2014",9.1,4,16.6666666666667,6
"2010-2011",8.78,5,20.8333333333333,4.8
"2005-2006",8.2,6,25,4
"2020-2021",7.8,7,29.1666666666667,3.42857142857143
"2006-2007",7.28,8,33.3333333333333,3
"2018-2019",6.9,9,37.5,2.66666666666667
"2011-2012",6.82,10,41.6666666666667,2.4
"2007-2008",6.78,11,45.8333333333333,2.18181818181818
"2001-2002",6.58,12,50,2
"2012-2013",6.22,13,54.1666666666667,1.84615384615385
"1999-2000",6.22,14,58.3333333333333,1.71428571428571
"2004-2005",6.16,15,62.5,1.6
"2021-2022",5.62,16,66.6666666666667,1.5
"2017-2018",5.6,17,70.8333333333333,1.41176470588235
"2019-2020",5.4,18,75,1.33333333333333
"2015-2016",5.34,19,79.1666666666667,1.26315789473684
"2002-2003",4.54,20,83.3333333333333,1.2
"2008-2009",3.98,21,87.5,1.14285714285714
"2003-2004",3.74,22,91.6666666666667,1.09090909090909
"2016-2017",2.96,23,95.8333333333333,1.04347826086957
