Years,x5_hr,rank,Probability,Frequency
"2002-2003",6.18,1,6.25,16
"2001-2002",5.1,2,12.5,8
"2005-2006",4.6,3,18.75,5.33333333333333
"1997-1998",4.58,4,25,4
"1993-1994",4.56,5,31.25,3.2
"1995-1996",4.12,6,37.5,2.66666666666667
"1996-1997",3.6,7,43.75,2.28571428571429
"2003-2004",3.4,8,50,2
"1994-1995",3.38,9,56.25,1.77777777777778
"1998-1999",3.14,10,62.5,1.6
"2000-2001",2.98,11,68.75,1.45454545454545
"2006-2007",2.86,12,75,1.33333333333333
"1999-2000",2.86,13,81.25,1.23076923076923
"2007-2008",2.6,14,87.5,1.14285714285714
"2004-2005",2.48,15,93.75,1.06666666666667
