Years,x5_hr,rank,Probability,Frequency
"2019-2020",6.36,1,7.14285714285714,14
"2009-2010",5.68,2,14.2857142857143,7
"2015-2016",5.08,3,21.4285714285714,4.66666666666667
"2013-2014",3.78,4,28.5714285714286,3.5
"2018-2019",3.26,5,35.7142857142857,2.8
"2020-2021",2.76,6,42.8571428571429,2.33333333333333
"2014-2015",2.66,7,50,2
"2012-2013",2.24,8,57.1428571428571,1.75
"2010-2011",2.04,9,64.2857142857143,1.55555555555556
"2021-2022",2.02,10,71.4285714285714,1.4
"2017-2018",1.96,11,78.5714285714286,1.27272727272727
"2011-2012",0.92,12,85.7142857142857,1.16666666666667
"2016-2017",0.88,13,92.8571428571429,1.07692307692308
