Years,x5_hr,rank,Probability,Frequency
"2019-2020",13.12,1,6.66666666666667,15
"2021-2022",10.94,2,13.3333333333333,7.5
"2020-2021",10.7,3,20,5
"2014-2015",9.68,4,26.6666666666667,3.75
"2012-2013",8.9,5,33.3333333333333,3
"2017-2018",8.4,6,40,2.5
"2010-2011",7.96,7,46.6666666666667,2.14285714285714
"2015-2016",7.72,8,53.3333333333333,1.875
"2016-2017",7.24,9,60,1.66666666666667
"2009-2010",6.82,10,66.6666666666667,1.5
"2018-2019",5.8,11,73.3333333333333,1.36363636363636
"2013-2014",5.58,12,80,1.25
"2011-2012",5.4,13,86.6666666666667,1.15384615384615
"2008-2009",4.08,14,93.3333333333333,1.07142857142857
