Years,x5_hr,rank,Probability,Frequency
"2011-2012",9.56,1,5.88235294117647,17
"2009-2010",8.54,2,11.7647058823529,8.5
"2014-2015",7.82,3,17.6470588235294,5.66666666666667
"2012-2013",7.6,4,23.5294117647059,4.25
"2015-2016",6.82,5,29.4117647058824,3.4
"2018-2019",6.68,6,35.2941176470588,2.83333333333333
"2019-2020",6.46,7,41.1764705882353,2.42857142857143
"2007-2008",6.12,8,47.0588235294118,2.125
"2020-2021",6.06,9,52.9411764705882,1.88888888888889
"2008-2009",5.9,10,58.8235294117647,1.7
"2006-2007",5.78,11,64.7058823529412,1.54545454545455
"2021-2022",5.36,12,70.5882352941177,1.41666666666667
"2016-2017",5.04,13,76.4705882352941,1.30769230769231
"2013-2014",4.34,14,82.3529411764706,1.21428571428571
"2017-2018",4.18,15,88.2352941176471,1.13333333333333
"2010-2011",3.5,16,94.1176470588235,1.0625
