Years,x5_hr,rank,Probability,Frequency
"2017-2018",11.76,1,6.25,16
"2011-2012",11.14,2,12.5,8
"2010-2011",10.76,3,18.75,5.33333333333333
"2014-2015",10.4,4,25,4
"2021-2022",9.86,5,31.25,3.2
"2020-2021",9.68,6,37.5,2.66666666666667
"2012-2013",9.66,7,43.75,2.28571428571429
"2019-2020",9.4,8,50,2
"2009-2010",8.86,9,56.25,1.77777777777778
"2008-2009",8.82,10,62.5,1.6
"2016-2017",8.6,11,68.75,1.45454545454545
"2018-2019",8.44,12,75,1.33333333333333
"2007-2008",8.26,13,81.25,1.23076923076923
"2015-2016",6.78,14,87.5,1.14285714285714
"2013-2014",3.82,15,93.75,1.06666666666667
