Years,x5_hr,rank,Probability,Frequency
"2005-2006",10.68,1,4.54545454545455,22
"2009-2010",9.12,2,9.09090909090909,11
"2014-2015",7.98,3,13.6363636363636,7.33333333333333
"2018-2019",7.96,4,18.1818181818182,5.5
"2017-2018",7.04,5,22.7272727272727,4.4
"2006-2007",6.74,6,27.2727272727273,3.66666666666667
"2002-2003",6.72,7,31.8181818181818,3.14285714285714
"2021-2022",6.52,8,36.3636363636364,2.75
"2016-2017",5.74,9,40.9090909090909,2.44444444444444
"2012-2013",5.72,10,45.4545454545455,2.2
"2007-2008",5.7,11,50,2
"2020-2021",5.7,12,54.5454545454545,1.83333333333333
"2013-2014",5.66,13,59.0909090909091,1.69230769230769
"2001-2002",5.5,14,63.6363636363636,1.57142857142857
"2004-2005",5.42,15,68.1818181818182,1.46666666666667
"2003-2004",5.3,16,72.7272727272727,1.375
"2010-2011",5.28,17,77.2727272727273,1.29411764705882
"2011-2012",5.22,18,81.8181818181818,1.22222222222222
"2008-2009",4.78,19,86.3636363636364,1.15789473684211
"2015-2016",4.54,20,90.9090909090909,1.1
"2019-2020",4.44,21,95.4545454545455,1.04761904761905
