Years,x5_hr,rank,Probability,Frequency
"2021-2022",11.18,1,6.66666666666667,15
"2009-2010",9.32,2,13.3333333333333,7.5
"2017-2018",9.08,3,20,5
"2018-2019",8.54,4,26.6666666666667,3.75
"2012-2013",8.36,5,33.3333333333333,3
"2020-2021",8.26,6,40,2.5
"2015-2016",7.94,7,46.6666666666667,2.14285714285714
"2013-2014",6.16,8,53.3333333333333,1.875
"2014-2015",5.92,9,60,1.66666666666667
"2019-2020",5.62,10,66.6666666666667,1.5
"2011-2012",5.06,11,73.3333333333333,1.36363636363636
"2008-2009",4.46,12,80,1.25
"2016-2017",3.8,13,86.6666666666667,1.15384615384615
"2010-2011",3.02,14,93.3333333333333,1.07142857142857
