Years,x5_hr,rank,Probability,Frequency
"2019-2020",17.3,1,4.54545454545455,22
"2020-2021",13.42,2,9.09090909090909,11
"2010-2011",12.88,3,13.6363636363636,7.33333333333333
"2014-2015",11.48,4,18.1818181818182,5.5
"2017-2018",10.3,5,22.7272727272727,4.4
"2003-2004",10.04,6,27.2727272727273,3.66666666666667
"2006-2007",9.72,7,31.8181818181818,3.14285714285714
"2018-2019",9.48,8,36.3636363636364,2.75
"2012-2013",8.54,9,40.9090909090909,2.44444444444444
"2007-2008",8.26,10,45.4545454545455,2.2
"2011-2012",8.18,11,50,2
"2001-2002",7.38,12,54.5454545454545,1.83333333333333
"2013-2014",7.32,13,59.0909090909091,1.69230769230769
"2021-2022",6.48,14,63.6363636363636,1.57142857142857
"2002-2003",5.7,15,68.1818181818182,1.46666666666667
"2005-2006",5.64,16,72.7272727272727,1.375
"2016-2017",5.56,17,77.2727272727273,1.29411764705882
"2004-2005",5.42,18,81.8181818181818,1.22222222222222
"2015-2016",5.26,19,86.3636363636364,1.15789473684211
"2009-2010",5.16,20,90.9090909090909,1.1
"2008-2009",5.06,21,95.4545454545455,1.04761904761905
