Years,x5_hr,rank,Probability,Frequency
"2020-2021",16.78,1,7.14285714285714,14
"2021-2022",14.72,2,14.2857142857143,7
"2010-2011",12.46,3,21.4285714285714,4.66666666666667
"2018-2019",12.1,4,28.5714285714286,3.5
"2019-2020",11.4,5,35.7142857142857,2.8
"2013-2014",9.96,6,42.8571428571429,2.33333333333333
"2012-2013",9.14,7,50,2
"2017-2018",8.24,8,57.1428571428571,1.75
"2014-2015",6.98,9,64.2857142857143,1.55555555555556
"2009-2010",6.82,10,71.4285714285714,1.4
"2015-2016",6.48,11,78.5714285714286,1.27272727272727
"2011-2012",4.86,12,85.7142857142857,1.16666666666667
"2016-2017",4.68,13,92.8571428571429,1.07692307692308
