Years,x5_hr,rank,Probability,Frequency
"2016-2017",10.74,1,4.34782608695652,23
"2010-2011",10.66,2,8.69565217391304,11.5
"2008-2009",9.36,3,13.0434782608696,7.66666666666667
"2018-2019",8.98,4,17.3913043478261,5.75
"2019-2020",8.28,5,21.7391304347826,4.6
"2009-2010",7.86,6,26.0869565217391,3.83333333333333
"2001-2002",7.66,7,30.4347826086957,3.28571428571429
"2005-2006",7.64,8,34.7826086956522,2.875
"2004-2005",7.6,9,39.1304347826087,2.55555555555556
"2015-2016",7.32,10,43.4782608695652,2.3
"2014-2015",6.94,11,47.8260869565217,2.09090909090909
"2002-2003",6.64,12,52.1739130434783,1.91666666666667
"2012-2013",6.6,13,56.5217391304348,1.76923076923077
"2006-2007",6.5,14,60.8695652173913,1.64285714285714
"2017-2018",6.46,15,65.2173913043478,1.53333333333333
"1999-2000",6.2,16,69.5652173913043,1.4375
"2021-2022",6.18,17,73.9130434782609,1.35294117647059
"2013-2014",5.74,18,78.2608695652174,1.27777777777778
"2011-2012",5.66,19,82.6086956521739,1.21052631578947
"2003-2004",5.5,20,86.9565217391304,1.15
"2007-2008",5.34,21,91.304347826087,1.0952380952381
"2020-2021",5.1,22,95.6521739130435,1.04545454545455
