Years,x6_hr,rank,Probability,Frequency
"2019-2020",10.25,1,6.25,16
"2010-2011",7.58333333333333,2,12.5,8
"2020-2021",7.43333333333333,3,18.75,5.33333333333333
"2017-2018",6.95,4,25,4
"2012-2013",6.88333333333333,5,31.25,3.2
"2018-2019",6.88333333333333,6,37.5,2.66666666666667
"2013-2014",5.56666666666667,7,43.75,2.28571428571429
"2007-2008",5.11666666666667,8,50,2
"2021-2022",4.93333333333333,9,56.25,1.77777777777778
"2008-2009",4.43333333333333,10,62.5,1.6
"2014-2015",4.43333333333333,11,68.75,1.45454545454545
"2015-2016",4.16666666666667,12,75,1.33333333333333
"2009-2010",4.1,13,81.25,1.23076923076923
"2011-2012",3.4,14,87.5,1.14285714285714
"2016-2017",3.11666666666667,15,93.75,1.06666666666667
