Years,x6_hr,rank,Probability,Frequency
"1994-1995",8.5,1,3.125,32
"2005-2006",5.48333333333333,2,6.25,16
"2015-2016",5.03333333333333,3,9.375,10.6666666666667
"2004-2005",3.88333333333333,4,12.5,8
"1992-1993",3.33333333333333,5,15.625,6.4
"2013-2014",3.25,6,18.75,5.33333333333333
"2002-2003",3.05,7,21.875,4.57142857142857
"2008-2009",3.03333333333333,8,25,4
"1997-1998",3,9,28.125,3.55555555555556
"2010-2011",2.98333333333333,10,31.25,3.2
"2009-2010",2.85,11,34.375,2.90909090909091
"2021-2022",2.83333333333333,12,37.5,2.66666666666667
"2007-2008",2.81666666666667,13,40.625,2.46153846153846
"2014-2015",2.8,14,43.75,2.28571428571429
"2017-2018",2.8,15,46.875,2.13333333333333
"2020-2021",2.78333333333333,16,50,2
"2016-2017",2.58333333333333,17,53.125,1.88235294117647
"2001-2002",2.5,18,56.25,1.77777777777778
"2003-2004",2.36666666666667,19,59.375,1.68421052631579
"2000-2001",2.35,20,62.5,1.6
"1996-1997",2.33333333333333,21,65.625,1.52380952380952
"2011-2012",2.3,22,68.75,1.45454545454545
"2012-2013",2.3,23,71.875,1.39130434782609
"1999-2000",2.18333333333333,24,75,1.33333333333333
"2006-2007",2.18333333333333,25,78.125,1.28
"1995-1996",2.16666666666667,26,81.25,1.23076923076923
"2019-2020",2.06666666666667,27,84.375,1.18518518518519
"1993-1994",2,28,87.5,1.14285714285714
"2018-2019",1.43333333333333,29,90.625,1.10344827586207
"1998-1999",0.883333333333333,30,93.75,1.06666666666667
"1991-1992",0.192166666666667,31,96.875,1.03225806451613
