Years,x6_hr,rank,Probability,Frequency
"2009-2010",10.6666666666667,1,5.26315789473684,19
"2007-2008",10.4833333333333,2,10.5263157894737,9.5
"2012-2013",10.2833333333333,3,15.7894736842105,6.33333333333333
"2021-2022",9.76666666666667,4,21.0526315789474,4.75
"2018-2019",9.5,5,26.3157894736842,3.8
"2010-2011",9.33333333333333,6,31.5789473684211,3.16666666666667
"2011-2012",8.66666666666667,7,36.8421052631579,2.71428571428571
"2017-2018",7.93333333333333,8,42.1052631578947,2.375
"2004-2005",7.85,9,47.3684210526316,2.11111111111111
"2014-2015",7.38333333333333,10,52.6315789473684,1.9
"2006-2007",7.2,11,57.8947368421053,1.72727272727273
"2013-2014",7.18333333333333,12,63.1578947368421,1.58333333333333
"2015-2016",6.63333333333333,13,68.4210526315789,1.46153846153846
"2019-2020",6.16666666666667,14,73.6842105263158,1.35714285714286
"2020-2021",5.96666666666667,15,78.9473684210526,1.26666666666667
"2005-2006",5.46666666666667,16,84.2105263157895,1.1875
"2016-2017",5.06666666666667,17,89.4736842105263,1.11764705882353
"2008-2009",3.63333333333333,18,94.7368421052632,1.05555555555556
