Years,x6_hr,rank,Probability,Frequency
"2009-2010",10.8333333333333,1,8.33333333333333,12
"2005-2006",9.51666666666667,2,16.6666666666667,6
"2002-2003",6.71666666666667,3,25,4
"2008-2009",6.66666666666667,4,33.3333333333333,3
"2001-2002",6.16666666666667,5,41.6666666666667,2.4
"2010-2011",5.86666666666667,6,50,2
"2003-2004",5.76666666666667,7,58.3333333333333,1.71428571428571
"2004-2005",5.61666666666667,8,66.6666666666667,1.5
"2000-2001",4.33333333333333,9,75,1.33333333333333
"2007-2008",4.25,10,83.3333333333333,1.2
"2006-2007",3.13333333333333,11,91.6666666666667,1.09090909090909
