Years,x6_hr,rank,Probability,Frequency
"2018-2019",13.1666666666667,1,8.33333333333333,12
"2020-2021",12.8166666666667,2,16.6666666666667,6
"2011-2012",10.6333333333333,3,25,4
"2017-2018",7.01666666666667,4,33.3333333333333,3
"2014-2015",6.7,5,41.6666666666667,2.4
"2021-2022",6.66666666666667,6,50,2
"2013-2014",6.25,7,58.3333333333333,1.71428571428571
"2019-2020",6.13333333333333,8,66.6666666666667,1.5
"2012-2013",5.13333333333333,9,75,1.33333333333333
"2015-2016",5.06666666666667,10,83.3333333333333,1.2
"2016-2017",4.9,11,91.6666666666667,1.09090909090909
