Years,x6_hr,rank,Probability,Frequency
"2010-2011",11.3833333333333,1,6.66666666666667,15
"2009-2010",10.35,2,13.3333333333333,7.5
"2019-2020",9.98333333333333,3,20,5
"2016-2017",9.51666666666667,4,26.6666666666667,3.75
"2012-2013",8.9,5,33.3333333333333,3
"2020-2021",8.3,6,40,2.5
"2021-2022",7.38333333333333,7,46.6666666666667,2.14285714285714
"2017-2018",7.1,8,53.3333333333333,1.875
"2018-2019",7.06666666666667,9,60,1.66666666666667
"2008-2009",6.8,10,66.6666666666667,1.5
"2013-2014",5.58333333333333,11,73.3333333333333,1.36363636363636
"2011-2012",5.38333333333333,12,80,1.25
"2014-2015",5.15,13,86.6666666666667,1.15384615384615
"2015-2016",5.08333333333333,14,93.3333333333333,1.07142857142857
